estimator,portfolio,regime,vaR95,es95,violation_rate,realised_var,realised_es,qlike,mv_turnover,mv_turnover_cost_bps,cov_condition
cc,ew,calm,-0.015200590198468839,-0.019062153355350532,0.0,2.7881302867183697e-05,,0.4458819500137363,0.0,0.0,16573.79334767605
cc,mv,calm,-0.009150261489430395,-0.01147479706219895,0.0,1.3216537127844115e-05,,0.27786927313760446,0.015250042034123647,0.07625021017061823,16573.79334767605
quest,ew,calm,-0.007355071586800425,-0.00922355649988471,0.16666666666666666,2.7881302867183697e-05,-0.010902957471170906,0.061941592868454576,0.0,0.0,442.23442514640215
quest,mv,calm,-0.005211390672483954,-0.006535294149535,0.3333333333333333,1.3216537127844115e-05,-0.00655491629572031,0.04155542204816132,0.015250042034123647,0.07625021017061823,442.23442514640215
ewma,ew,calm,-0.015370705600727485,-0.019275484932849946,0.0,2.7881302867183697e-05,,0.4609538809839502,0.0,0.0,1279736.5988298953
ewma,mv,calm,-0.006967818509713735,-0.008737925518036293,0.16666666666666666,1.3216537127844115e-05,-0.007386843513109333,0.042342534716454105,0.015250042034123647,0.07625021017061823,1279736.5988298953
overlay,ew,calm,-0.0144356410068722,-0.018102876208287166,0.0,3.328321059943199e-05,,0.2711677507041137,0.0,0.0,239.48391786077286
overlay,mv,calm,-0.007100220090804726,-0.008903962442280297,0.2,1.4739376885423686e-05,-0.007116567872369585,0.02545079953758611,0.033565715649324514,0.16782857824662256,239.48391786077286
baseline,ew,calm,-0.0144356410068722,-0.018102876208287166,0.0,3.328321059943199e-05,,0.2711677507041137,0.0,0.0,239.48391786077286
baseline,mv,calm,-0.007100220090804726,-0.008903962442280297,0.2,1.4739376885423686e-05,-0.007116567872369585,0.02545079953758611,0.033565715649324514,0.16782857824662256,239.48391786077286
sample,ew,calm,-0.015214678347367873,-0.01907982046243651,0.0,3.328321059943199e-05,,0.3331694996582206,0.0,0.0,691298.4817314686
sample,mv,calm,-0.007137430093428929,-0.008950625286756362,0.0,1.4739376885423686e-05,,0.02767850096376101,0.033565715649324514,0.16782857824662256,691298.4817314686
scm,ew,calm,-0.015214678347367873,-0.01907982046243651,0.0,3.328321059943199e-05,,0.3331694996582206,0.0,0.0,691298.4817314686
scm,mv,calm,-0.007137430093428929,-0.008950625286756362,0.0,1.4739376885423686e-05,,0.02767850096376101,0.033565715649324514,0.16782857824662256,691298.4817314686
rie,ew,calm,-0.0075733133446431716,-0.009497240468876834,0.2,3.328321059943199e-05,-0.010902957471170906,0.11893517215113647,0.0,0.0,7.319101747181443
rie,mv,calm,-0.007211776202347763,-0.009043858306729968,0.0,1.4739376885423686e-05,,0.03234696239228074,0.033565715649324514,0.16782857824662256,7.319101747181443
lw,ew,calm,-0.01422546676307962,-0.01783930922738648,0.0,3.328321059943199e-05,,0.25469803822895365,0.0,0.0,178.93542858869526
lw,mv,calm,-0.007102818456808838,-0.008907220898076882,0.2,1.4739376885423686e-05,-0.007116567872369585,0.025603934745204393,0.033565715649324514,0.16782857824662256,178.93542858869526
oas,ew,calm,-0.0144356410068722,-0.018102876208287166,0.0,3.328321059943199e-05,,0.2711677507041137,0.0,0.0,239.48391786077286
