design,window_id,window_start,regime,vol_signal,calm_threshold,crisis_threshold,vol_state_label
dow-tyler,72.0,2020-08-14T00:00:00,full,0.0181140861009026,0.0154008656277535,0.0254046279687455,mid
dow-tyler,73.0,2020-08-17T00:00:00,full,0.0178582453720256,0.0154084304208532,0.0252973172514598,mid
dow-tyler,74.0,2020-08-18T00:00:00,full,0.0174685895664933,0.0154159952139529,0.0251900065341742,mid
dow-tyler,75.0,2020-08-19T00:00:00,full,0.0174177330291102,0.0154235600070527,0.0250826958168885,mid
dow-tyler,76.0,2020-08-20T00:00:00,full,0.0176988541591578,0.0154311248001524,0.0249753850996029,mid
dow-tyler,77.0,2020-08-21T00:00:00,full,0.0174565229935669,0.0154386895932521,0.0248680743823172,mid
dow-tyler,78.0,2020-08-24T00:00:00,full,0.0175234272553745,0.0155067301580363,0.0248508362050999,mid
dow-tyler,79.0,2020-08-25T00:00:00,full,0.0171927739012317,0.0155747707228206,0.0248335980278826,mid
dow-tyler,80.0,2020-08-26T00:00:00,full,0.0168027655561744,0.0156428112876048,0.0248163598506653,mid
dow-tyler,81.0,2020-08-27T00:00:00,full,0.0164977734269937,0.015710851852389,0.024799121673448,mid
dow-tyler,82.0,2020-08-28T00:00:00,full,0.0163920703106768,0.0157788924171732,0.0247818834962307,mid
dow-tyler,83.0,2020-08-31T00:00:00,full,0.0162965275465382,0.0158116003165099,0.0247193540776915,mid
dow-tyler,84.0,2020-09-01T00:00:00,full,0.0163376568803152,0.0158443082158466,0.0246568246591523,mid
dow-tyler,85.0,2020-09-02T00:00:00,full,0.0162710761193643,0.0158770161151832,0.024594295240613,mid
dow-tyler,86.0,2020-09-03T00:00:00,full,0.0160610512067265,0.0159097240145199,0.0245317658220738,mid
dow-tyler,87.0,2020-09-04T00:00:00,full,0.0159477491241237,0.0159424319138566,0.0244692364035346,mid
dow-tyler,88.0,2020-09-08T00:00:00,calm,0.0156905705341713,0.01594349535591,0.0244361308213692,calm
dow-tyler,89.0,2020-09-09T00:00:00,calm,0.0157594847104316,0.0158443082158466,0.0244030252392038,calm
dow-tyler,90.0,2020-09-10T00:00:00,calm,0.0155872833182642,0.0157711293344766,0.0243699196570385,calm
dow-tyler,91.0,2020-09-11T00:00:00,calm,0.0157009368746967,0.0157457018751795,0.0243368140748731,calm
dow-tyler,92.0,2020-09-14T00:00:00,full,0.0161455479422385,0.0157009368746967,0.0243037084927077,mid
dow-tyler,93.0,2020-09-15T00:00:00,full,0.0164807576141335,0.0157126464418437,0.0242770770935623,mid
dow-tyler,94.0,2020-09-16T00:00:00,full,0.0163733061273943,0.0157243560089907,0.0242504456944169,mid
dow-tyler,95.0,2020-09-17T00:00:00,full,0.0169949875120856,0.0157360655761376,0.0242238142952715,mid
dow-tyler,96.0,2020-09-18T00:00:00,full,0.0169904975981802,0.0157477751432846,0.0241971828961261,mid
dow-tyler,97.0,2020-09-21T00:00:00,full,0.0179055854407061,0.0157594847104316,0.0241705514969808,mid
dow-tyler,98.0,2020-09-22T00:00:00,full,0.0179992303290013,0.0157633662517799,0.0241592653542477,mid
dow-tyler,99.0,2020-09-23T00:00:00,full,0.0182914535144044,0.0157672477931282,0.0241479792115147,mid
dow-tyler,100.0,2020-09-24T00:00:00,full,0.0185666224389021,0.0157711293344766,0.0241366930687816,mid
dow-tyler,101.0,2020-09-25T00:00:00,full,0.0180882122409615,0.0157750108758249,0.0241254069260486,mid
dow-tyler,102.0,2020-09-28T00:00:00,full,0.0183821837741378,0.0157788924171732,0.0241141207833156,mid
