window_id,fit_start,fit_end,hold_start,hold_end,n_obs,n_assets,injected
34,2024-02-21,2024-04-17,2024-04-18,2024-04-24,30,19,0
35,2024-02-22,2024-04-18,2024-04-19,2024-04-25,30,19,0
36,2024-02-23,2024-04-19,2024-04-22,2024-04-26,30,19,0
37,2024-02-26,2024-04-22,2024-04-23,2024-04-29,35,19,0
38,2024-02-27,2024-04-23,2024-04-24,2024-04-30,35,19,0
39,2024-02-28,2024-04-24,2024-04-25,2024-05-01,30,19,0
40,2024-02-29,2024-04-25,2024-04-26,2024-05-02,30,19,0
41,2024-03-01,2024-04-26,2024-04-29,2024-05-03,30,19,0
42,2024-03-04,2024-04-29,2024-04-30,2024-05-06,35,19,0
43,2024-03-05,2024-04-30,2024-05-01,2024-05-07,35,19,1
44,2024-03-06,2024-05-01,2024-05-02,2024-05-08,30,19,0
45,2024-03-07,2024-05-02,2024-05-03,2024-05-09,30,19,0
46,2024-03-08,2024-05-03,2024-05-06,2024-05-10,30,19,0
47,2024-03-11,2024-05-06,2024-05-07,2024-05-13,35,19,0
48,2024-03-12,2024-05-07,2024-05-08,2024-05-14,35,19,0
49,2024-03-13,2024-05-08,2024-05-09,2024-05-15,30,19,0
50,2024-03-14,2024-05-09,2024-05-10,2024-05-16,30,19,0
51,2024-03-15,2024-05-10,2024-05-13,2024-05-17,30,19,0
52,2024-03-18,2024-05-13,2024-05-14,2024-05-20,35,19,0
53,2024-03-19,2024-05-14,2024-05-15,2024-05-21,35,19,0
54,2024-03-20,2024-05-15,2024-05-16,2024-05-22,30,19,0
55,2024-03-21,2024-05-16,2024-05-17,2024-05-23,30,19,0
56,2024-03-22,2024-05-17,2024-05-20,2024-05-24,30,19,0
57,2024-03-25,2024-05-20,2024-05-21,2024-05-28,35,19,0
58,2024-03-26,2024-05-21,2024-05-22,2024-05-29,35,19,0
59,2024-03-27,2024-05-22,2024-05-23,2024-05-30,35,19,0
60,2024-03-28,2024-05-23,2024-05-24,2024-05-31,35,19,0
61,2024-04-01,2024-05-24,2024-05-28,2024-06-03,35,19,0
62,2024-04-02,2024-05-28,2024-05-29,2024-06-04,35,19,0
63,2024-04-03,2024-05-29,2024-05-30,2024-06-05,30,19,0
64,2024-04-04,2024-05-30,2024-05-31,2024-06-06,30,19,0
65,2024-04-05,2024-05-31,2024-06-03,2024-06-07,30,19,0
66,2024-04-08,2024-06-03,2024-06-04,2024-06-10,35,19,0
67,2024-04-09,2024-06-04,2024-06-05,2024-06-11,35,19,0
68,2024-04-10,2024-06-05,2024-06-06,2024-06-12,30,19,0
69,2024-04-11,2024-06-06,2024-06-07,2024-06-13,30,19,0
70,2024-04-12,2024-06-07,2024-06-10,2024-06-14,30,19,0
71,2024-04-15,2024-06-10,2024-06-11,2024-06-17,35,19,0
72,2024-04-16,2024-06-11,2024-06-12,2024-06-18,35,19,0
73,2024-04-17,2024-06-12,2024-06-13,2024-06-20,30,19,0
74,2024-04-18,2024-06-13,2024-06-14,2024-06-21,30,19,0
75,2024-04-19,2024-06-14,2024-06-17,2024-06-24,30,19,0
76,2024-04-22,2024-06-17,2024-06-18,2024-06-25,35,19,0
77,2024-04-23,2024-06-18,2024-06-20,2024-06-26,35,19,0
78,2024-04-24,2024-06-20,2024-06-21,2024-06-27,30,19,1
79,2024-04-25,2024-06-21,2024-06-24,2024-06-28,30,19,1
