==== Top cumulative (30) ===
         1954806978 function calls in 878.678 seconds

   Ordered by: cumulative time
   List reduced from 185 to 30 due to restriction <30>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
   126475   19.432    0.000  700.717    0.006 /root/fjs-dealias-portfolio/src/fjs/mp.py:525(_brackets_sign_change)
 17884601    5.692    0.000  559.668    0.000 /root/fjs-dealias-portfolio/src/fjs/mp.py:681(equation)
 17893313   96.610    0.000  554.274    0.000 /root/fjs-dealias-portfolio/src/fjs/mp.py:220(z_of_m)
    53284    0.186    0.000  278.889    0.005 /root/fjs-dealias-portfolio/src/fjs/mp.py:398(_stationary_points)
 12893759   41.285    0.000  268.199    0.000 /root/fjs-dealias-portfolio/src/fjs/mp.py:277(_dz_dm)
 12498791    2.744    0.000  262.588    0.000 /root/fjs-dealias-portfolio/src/fjs/mp.py:404(derivative)
    44572    0.175    0.000  235.114    0.005 /root/fjs-dealias-portfolio/src/fjs/mp.py:617(m_edge)
   147524    5.689    0.000  135.561    0.001 /root/fjs-dealias-portfolio/src/fjs/mp.py:428(_bisect)
 18124395   42.124    0.000   78.621    0.000 /root/fjs-dealias-portfolio/src/fjs/mp.py:112(_prepare_inputs)
    11568    0.026    0.000   46.348    0.004 /root/fjs-dealias-portfolio/src/fjs/mp.py:558(mp_edge)
     8712    0.046    0.000   46.096    0.005 /root/fjs-dealias-portfolio/src/fjs/mp.py:579(_mp_edge_impl)
 18078640   20.648    0.000   22.770    0.000 /root/fjs-dealias-portfolio/src/fjs/mp.py:211(_k_values)
   147524    0.909    0.000   21.650    0.000 /root/fjs-dealias-portfolio/src/fjs/mp.py:367(_newton_refine)
 18124395    5.751    0.000    7.989    0.000 /root/fjs-dealias-portfolio/src/fjs/mp.py:133(_prepare_cs)
   300920    0.082    0.000    6.467    0.000 /root/fjs-dealias-portfolio/src/fjs/mp.py:697(<lambda>)
   126475    2.268    0.000    5.695    0.000 /root/fjs-dealias-portfolio/src/fjs/mp.py:351(_augment_with_singularities)
   162317    0.040    0.000    3.653    0.000 /root/fjs-dealias-portfolio/src/fjs/mp.py:407(curvature)
   162317    0.740    0.000    3.613    0.000 /root/fjs-dealias-portfolio/src/fjs/mp.py:290(_d2z_dm2)
    94048    0.024    0.000    1.994    0.000 /root/fjs-dealias-portfolio/src/fjs/mp.py:704(derivative)
   126475    0.193    0.000    1.908    0.000 /root/fjs-dealias-portfolio/src/fjs/mp.py:346(_logspace_grid)
    99039    0.585    0.000    1.062    0.000 /root/fjs-dealias-portfolio/src/fjs/mp.py:81(_hash_arrays)
 25387522    1.037    0.000    1.037    0.000 /root/fjs-dealias-portfolio/src/fjs/mp.py:363(<genexpr>)
   178946    0.200    0.000    0.200    0.000 /root/fjs-dealias-portfolio/src/fjs/mp.py:479(_crosses_pole)
     8712    0.003    0.000    0.192    0.000 /root/fjs-dealias-portfolio/src/fjs/mp.py:613(<lambda>)
    58852    0.116    0.000    0.163    0.000 /root/fjs-dealias-portfolio/src/fjs/mp.py:735(_normalise_order)
    11568    0.066    0.000    0.108    0.000 /root/fjs-dealias-portfolio/src/fjs/dealias.py:206(_sigma_of_a_from_MS)
    53284    0.050    0.000    0.073    0.000 /root/fjs-dealias-portfolio/src/fjs/mp.py:67(_cache_set)
      482    0.018    0.000    0.069    0.000 /root/fjs-dealias-portfolio/src/fjs/dealias.py:142(_generate_unit_vectors)
    87471    0.029    0.000    0.043    0.000 /root/fjs-dealias-portfolio/src/fjs/dealias.py:497(_diag_inc)
    11568    0.016    0.000    0.043    0.000 /root/fjs-dealias-portfolio/src/fjs/dealias.py:153(_record)
      482    0.010    0.000    0.041    0.000 /root/fjs-dealias-portfolio/src/fjs/mp.py:147(estimate_Cs_from_MS)
      482    0.009    0.000    0.039    0.000 /root/fjs-dealias-portfolio/src/fjs/balanced.py:95(mean_squares)
    99039    0.028    0.000    0.031    0.000 /root/fjs-dealias-portfolio/src/fjs/mp.py:46(_cache_get)
      482    0.002    0.000    0.020    0.000 /root/fjs-dealias-portfolio/src/fjs/balanced.py:30(_validate_balanced_inputs)
    28619    0.014    0.000    0.014    0.000 /root/fjs-dealias-portfolio/src/fjs/dealias.py:91(_tvec_error_reason)
    11568    0.006    0.000    0.009    0.000 /root/fjs-dealias-portfolio/src/fjs/dealias.py:563(_threshold_from_z)
      482    0.006    0.000    0.008    0.000 /root/fjs-dealias-portfolio/experiments/eval/inject_spike.py:283(_extract_window_diagnostics)
      482    0.002    0.000    0.005    0.000 /root/fjs-dealias-portfolio/src/fjs/balanced.py:56(_compute_group_means)
      296    0.002    0.000    0.004    0.000 /root/fjs-dealias-portfolio/experiments/eval/inject_spike.py:163(_apply_injection)
      482    0.002    0.000    0.003    0.000 /root/fjs-dealias-portfolio/src/fjs/dealias.py:335(_default_design)
      482    0.001    0.000    0.001    0.000 /root/fjs-dealias-portfolio/src/fjs/overlay.py:73(_summarise_pre_gate)
      482    0.001    0.000    0.001    0.000 /root/fjs-dealias-portfolio/src/fjs/dealias.py:321(_validate_inputs)
      482    0.000    0.000    0.000    0.000 /root/fjs-dealias-portfolio/src/fjs/dealias.py:580(_edge_margin_for)
      352    0.000    0.000    0.000    0.000 /root/fjs-dealias-portfolio/src/fjs/dealias.py:780(<genexpr>)
      482    0.000    0.000    0.000    0.000 /root/fjs-dealias-portfolio/src/fjs/overlay.py:236(_resolve_delta_frac)
      482    0.000    0.000    0.000    0.000 /root/fjs-dealias-portfolio/src/fjs/overlay.py:256(_gate_detections)
      482    0.000    0.000    0.000    0.000 /root/fjs-dealias-portfolio/src/fjs/dealias.py:354(_merge_detections)


         1954806978 function calls in 878.678 seconds

   Ordered by: cumulative time
   List reduced from 185 to 31 due to restriction <'fjs.mp'>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    87471    0.911    0.000  830.380    0.009 /root/fjs-dealias-portfolio/src/fjs/mp.py:760(t_vec)
    87471    0.255    0.000  826.801    0.009 /root/fjs-dealias-portfolio/src/fjs/mp.py:644(admissible_m_from_lambda)
    73191    0.700    0.000  825.047    0.011 /root/fjs-dealias-portfolio/src/fjs/mp.py:669(_admissible_m_from_lambda_impl)
   126475   19.432    0.000  700.717    0.006 /root/fjs-dealias-portfolio/src/fjs/mp.py:525(_brackets_sign_change)
 17884601    5.692    0.000  559.668    0.000 /root/fjs-dealias-portfolio/src/fjs/mp.py:681(equation)
 17893313   96.610    0.000  554.274    0.000 /root/fjs-dealias-portfolio/src/fjs/mp.py:220(z_of_m)
    53284    0.186    0.000  278.889    0.005 /root/fjs-dealias-portfolio/src/fjs/mp.py:398(_stationary_points)
 12893759   41.285    0.000  268.199    0.000 /root/fjs-dealias-portfolio/src/fjs/mp.py:277(_dz_dm)
 12498791    2.744    0.000  262.588    0.000 /root/fjs-dealias-portfolio/src/fjs/mp.py:404(derivative)
    44572    0.175    0.000  235.114    0.005 /root/fjs-dealias-portfolio/src/fjs/mp.py:617(m_edge)
   147524    5.689    0.000  135.561    0.001 /root/fjs-dealias-portfolio/src/fjs/mp.py:428(_bisect)
 18124395   42.124    0.000   78.621    0.000 /root/fjs-dealias-portfolio/src/fjs/mp.py:112(_prepare_inputs)
    11568    0.026    0.000   46.348    0.004 /root/fjs-dealias-portfolio/src/fjs/mp.py:558(mp_edge)
     8712    0.046    0.000   46.096    0.005 /root/fjs-dealias-portfolio/src/fjs/mp.py:579(_mp_edge_impl)
 18078640   20.648    0.000   22.770    0.000 /root/fjs-dealias-portfolio/src/fjs/mp.py:211(_k_values)
   147524    0.909    0.000   21.650    0.000 /root/fjs-dealias-portfolio/src/fjs/mp.py:367(_newton_refine)
 18124395    5.751    0.000    7.989    0.000 /root/fjs-dealias-portfolio/src/fjs/mp.py:133(_prepare_cs)
   300920    0.082    0.000    6.467    0.000 /root/fjs-dealias-portfolio/src/fjs/mp.py:697(<lambda>)
   126475    2.268    0.000    5.695    0.000 /root/fjs-dealias-portfolio/src/fjs/mp.py:351(_augment_with_singularities)
   162317    0.040    0.000    3.653    0.000 /root/fjs-dealias-portfolio/src/fjs/mp.py:407(curvature)
   162317    0.740    0.000    3.613    0.000 /root/fjs-dealias-portfolio/src/fjs/mp.py:290(_d2z_dm2)
    94048    0.024    0.000    1.994    0.000 /root/fjs-dealias-portfolio/src/fjs/mp.py:704(derivative)
   126475    0.193    0.000    1.908    0.000 /root/fjs-dealias-portfolio/src/fjs/mp.py:346(_logspace_grid)
    99039    0.585    0.000    1.062    0.000 /root/fjs-dealias-portfolio/src/fjs/mp.py:81(_hash_arrays)
 25387522    1.037    0.000    1.037    0.000 /root/fjs-dealias-portfolio/src/fjs/mp.py:363(<genexpr>)
   178946    0.200    0.000    0.200    0.000 /root/fjs-dealias-portfolio/src/fjs/mp.py:479(_crosses_pole)
     8712    0.003    0.000    0.192    0.000 /root/fjs-dealias-portfolio/src/fjs/mp.py:613(<lambda>)
    58852    0.116    0.000    0.163    0.000 /root/fjs-dealias-portfolio/src/fjs/mp.py:735(_normalise_order)
    53284    0.050    0.000    0.073    0.000 /root/fjs-dealias-portfolio/src/fjs/mp.py:67(_cache_set)
      482    0.010    0.000    0.041    0.000 /root/fjs-dealias-portfolio/src/fjs/mp.py:147(estimate_Cs_from_MS)
    99039    0.028    0.000    0.031    0.000 /root/fjs-dealias-portfolio/src/fjs/mp.py:46(_cache_get)


