run,run_path,crisis_label,design,label,strategy,estimator,n_windows,mean_mse,median_mse,iqr_mse,coverage_error,mean_qlike,median_qlike,sign_test_p_de_vs_lw,sign_test_p_de_vs_alias,delta_median_de_minus_lw,delta_median_de_minus_alias,ci_lo_de_minus_lw,ci_hi_de_minus_lw,ci_lo_de_minus_alias,ci_hi_de_minus_alias,dm_stat_de_vs_lw,dm_p_de_vs_lw,dm_stat_de_vs_oas,dm_p_de_vs_oas,dm_stat_de_vs_cc,dm_p_de_vs_cc,dm_stat_de_vs_factor,dm_p_de_vs_factor,dm_stat_de_vs_lw_qlike,dm_p_de_vs_lw_qlike,dm_stat_de_vs_oas_qlike,dm_p_de_vs_oas_qlike,var_kupiec_p,var_independence_p,es_shortfall_p,dm_stat_de_vs_poet,dm_p_de_vs_poet,dm_stat_de_vs_tyler,dm_p_de_vs_tyler,substitution_fraction,skip_no_isolated_share,edge_margin_median,edge_margin_iqr,edge_margin_count,edge_mode,gating_mode,delta_frac_used_min,delta_frac_used_max
nested_J5_solver-auto_est-dealias_prep-none,/Users/mateobodon/Documents/Programming/Projects/fjs-dealias-portfolio/experiments/equity_panel/outputs_nested_smoke/nested_J5_solver-auto_est-dealias_prep-none,,nested,full_nested_J5_solver-auto_est-dealias_prep-none,Equal Weight,OAS,24,4.941440282611765e-07,5.130715061672697e-07,7.312207139135199e-08,-0.05,-7.264837632288194,-7.241428857396942,,,,,,,,,,,,,,,,,,,,,0.2218524837076865,,,,,,,0.0,0.0,,,0,tyler,fixed,0.02,0.02
nested_J5_solver-auto_est-dealias_prep-none,/Users/mateobodon/Documents/Programming/Projects/fjs-dealias-portfolio/experiments/equity_panel/outputs_nested_smoke/nested_J5_solver-auto_est-dealias_prep-none,,nested,full_nested_J5_solver-auto_est-dealias_prep-none,Equal Weight,Constant-Correlation,24,6.579121747770599e-07,6.823815103271016e-07,8.83439892286291e-08,-0.05,-7.121055392828843,-7.098845428977572,,,,,,,,,,,,,,,,,,,,,0.2218524837076865,,,,,,,0.0,0.0,,,0,tyler,fixed,0.02,0.02
nested_J5_solver-auto_est-dealias_prep-none,/Users/mateobodon/Documents/Programming/Projects/fjs-dealias-portfolio/experiments/equity_panel/outputs_nested_smoke/nested_J5_solver-auto_est-dealias_prep-none,,nested,full_nested_J5_solver-auto_est-dealias_prep-none,Equal Weight,Tyler-Shrink,24,0.1286774663411732,0.1280537756109346,0.0097886710758485,-0.05,-1.025851437017735,-1.027697934082108,,,,,,,,,,,,,,,,,,,,,0.2218524837076865,,,,,,,0.0,0.0,,,0,tyler,fixed,0.02,0.02
nested_J5_solver-auto_est-dealias_prep-none,/Users/mateobodon/Documents/Programming/Projects/fjs-dealias-portfolio/experiments/equity_panel/outputs_nested_smoke/nested_J5_solver-auto_est-dealias_prep-none,,nested,full_nested_J5_solver-auto_est-dealias_prep-none,Equal Weight,POET-lite,24,6.295333514249204e-07,6.528102846404822e-07,9.439254516396446e-08,-0.05,-7.143427886490623,-7.121003627871433,,,,,,,,,,,,,,,,,,,,,0.2218524837076865,,,,,,,0.0,0.0,,,0,tyler,fixed,0.02,0.02
nested_J5_solver-auto_est-dealias_prep-none,/Users/mateobodon/Documents/Programming/Projects/fjs-dealias-portfolio/experiments/equity_panel/outputs_nested_smoke/nested_J5_solver-auto_est-dealias_prep-none,,nested,full_nested_J5_solver-auto_est-dealias_prep-none,Min-Variance (long-only),Aliased,24,2.513312659399569e-12,2.5619642338867973e-12,1.124312868462906e-12,0.075,-13.378628610939822,-13.345125101200876,,,,,,,,,,,,,,,,,,,,,0.1575616480808095,0.3418701599403598,,,,,,0.0,0.0,,,0,tyler,fixed,0.02,0.02
nested_J5_solver-auto_est-dealias_prep-none,/Users/mateobodon/Documents/Programming/Projects/fjs-dealias-portfolio/experiments/equity_panel/outputs_nested_smoke/nested_J5_solver-auto_est-dealias_prep-none,,nested,full_nested_J5_solver-auto_est-dealias_prep-none,Min-Variance (long-only),De-aliased,24,2.513312659399569e-12,2.5619642338867973e-12,1.124312868462906e-12,0.075,-13.378628610939822,-13.345125101200876,1.1920928955078125e-07,,-5.6081092816265594e-08,0.0,-5.960706478297409e-08,-5.166052814678113e-08,0.0,0.0,,,,,,,,,-89.19802064879374,0.0,-85.79701274561891,0.0,0.1575616480808095,0.3418701599403598,,,,,,0.0,0.0,,,0,tyler,fixed,0.02,0.02
nested_J5_solver-auto_est-dealias_prep-none,/Users/mateobodon/Documents/Programming/Projects/fjs-dealias-portfolio/experiments/equity_panel/outputs_nested_smoke/nested_J5_solver-auto_est-dealias_prep-none,,nested,full_nested_J5_solver-auto_est-dealias_prep-none,Min-Variance (long-only),Ledoit-Wolf,24,5.5727690723281614e-08,5.608251262927096e-08,7.643839417205897e-09,-0.05,-8.353024978462596,-8.348220978010385,,,,,,,,,,,,,,,,,,,,,0.2218524837076865,,,,,,,0.0,0.0,,,0,tyler,fixed,0.02,0.02
nested_J5_solver-auto_est-dealias_prep-none,/Users/mateobodon/Documents/Programming/Projects/fjs-dealias-portfolio/experiments/equity_panel/outputs_nested_smoke/nested_J5_solver-auto_est-dealias_prep-none,,nested,full_nested_J5_solver-auto_est-dealias_prep-none,Min-Variance (long-only),SCM,24,2.085537057795032e-12,2.0867987517419778e-12,4.072608610497829e-13,0.075,-13.453186623825466,-13.44769499923375,,,,,,,,,,,,,,,,,,,,,0.1575616480808095,0.3418701599403598,,,,,,0.0,0.0,,,0,tyler,fixed,0.02,0.02
nested_J5_solver-auto_est-dealias_prep-none,/Users/mateobodon/Documents/Programming/Projects/fjs-dealias-portfolio/experiments/equity_panel/outputs_nested_smoke/nested_J5_solver-auto_est-dealias_prep-none,,nested,full_nested_J5_solver-auto_est-dealias_prep-none,Min-Variance (long-only),OAS,24,4.131388967541782e-08,4.0684447344797145e-08,7.620424657620201e-09,-0.05,-8.503486317948935,-8.508709973516119,,,,,,,,,,,,,,,,,,,,,0.2218524837076865,,,,,,,0.0,0.0,,,0,tyler,fixed,0.02,0.02
nested_J5_solver-auto_est-dealias_prep-none,/Users/mateobodon/Documents/Programming/Projects/fjs-dealias-portfolio/experiments/equity_panel/outputs_nested_smoke/nested_J5_solver-auto_est-dealias_prep-none,,nested,full_nested_J5_solver-auto_est-dealias_prep-none,Min-Variance (long-only),Constant-Correlation,24,6.546553332160429e-12,6.531916287295028e-12,9.705809960446956e-13,-0.0083333333333333,-12.878484702311594,-12.877165999739084,,,,,,,,,,,,,,,,,,,,,1.0,0.7629850167503383,,,,,,0.0,0.0,,,0,tyler,fixed,0.02,0.02
