regime,estimator,portfolio,mse_mean,es_mse_mean,var95,es95,realised_var,realised_es,violation_rate,count,qlike_mean,mv_turnover_mean,mv_turnover_cost_bps,cov_condition_median,cov_condition_p90,baseline_mse,baseline_es_mse,baseline_qlike_mean,delta_mse_vs_baseline,delta_es_vs_baseline,delta_qlike_vs_baseline,delta_mse_ci_lower,delta_mse_ci_upper
crisis,overlay,ew,6.549487577990736e-09,2.166804059226414e-05,-0.008379583903433022,-0.010508336277453033,3.278144973085823e-05,-0.008265769289443895,0.0763187731232844,168,3.3044586776858216,0.0,0.0,27.355124006666102,154.27498641062454,6.549487577990736e-09,2.166804059226414e-05,3.3044586776858216,0.0,0.0,0.0,,
crisis,overlay,mv,5.294099392514706e-09,9.838946698059838e-06,-0.0040627799262983365,-0.00509488993473028,3.219811321222313e-05,-0.006789660968312126,0.18255087122568325,168,6.474208368402386,0.02901117913913937,0.14505589569569685,27.355124006666102,154.27498641062454,5.294099392514706e-09,9.838946698059838e-06,6.474208368402386,0.0,0.0,0.0,,
crisis,quest,ew,5.174396552542365e-09,2.007331837969223e-05,-0.005849551037561351,-0.007335572993026037,3.278144973085823e-05,-0.008468504749273024,0.08459914667621435,168,2.8496545050328517,0.0,0.0,141.03610929085235,6721.9998512352995,6.549487577990736e-09,2.166804059226414e-05,3.3044586776858216,-1.3750910254483712e-09,-1.5947222125719072e-06,-0.4548041726529699,,
crisis,quest,mv,5.295959731790013e-09,9.77247733171398e-06,-0.004006662533051279,-0.005024516459621024,3.219811321222313e-05,-0.006751114985122863,0.1861454230815133,168,6.778554567626491,0.02901117913913937,0.14505589569569685,141.03610929085235,6721.9998512352995,5.294099392514706e-09,9.838946698059838e-06,6.474208368402386,1.8603392753071652e-12,-6.646936634585813e-08,0.30434619922410544,,
crisis,rie,ew,5.1699083790686875e-09,1.7754102215327294e-05,-0.005074740432308824,-0.006363929235393297,3.278144973085823e-05,-0.007411197847813251,0.10716896407685882,168,4.146474599332358,0.0,0.0,4.755910008647739,11.760311918647048,6.549487577990736e-09,2.166804059226414e-05,3.3044586776858216,-1.3795791989220485e-09,-3.913938376936845e-06,0.8420159216465368,,
crisis,rie,mv,5.256339909945476e-09,1.1014681116895229e-05,-0.004952402845109236,-0.006210512965506815,3.219811321222313e-05,-0.00746308441550749,0.14298842343955126,168,5.127660284853346,0.02901117913913937,0.14505589569569685,4.755910008647739,11.760311918647048,5.294099392514706e-09,9.838946698059838e-06,6.474208368402386,-3.7759482569229436e-11,1.175734418835391e-06,-1.34654808354904,,
crisis,sample,ew,7.105139571815944e-09,2.0673067888303337e-05,-0.008955480971904115,-0.011230534435074477,3.278144973085823e-05,-0.008569063754370944,0.07217150017901897,168,2.839950516821778,0.0,0.0,153589.18101632845,5.187813881792067e+18,6.549487577990736e-09,2.166804059226414e-05,3.3044586776858216,5.556519938252076e-10,-9.949727039608017e-07,-0.4645081608640438,,
crisis,sample,mv,5.317290001865503e-09,9.641590758873123e-06,-0.003784957398115468,-0.004746489276029113,3.219811321222313e-05,-0.0065619441555374285,0.20289786967418547,168,7.7080792109078216,0.02901117913913937,0.14505589569569685,153589.18101632845,5.187813881792067e+18,5.294099392514706e-09,9.838946698059838e-06,6.474208368402386,2.3190609350797044e-11,-1.9735593918671439e-07,1.2338708425054357,,
crisis,scm,ew,7.105139571815944e-09,2.0673067888303337e-05,-0.008955480971904115,-0.011230534435074477,3.278144973085823e-05,-0.008569063754370944,0.07217150017901897,168,2.839950516821778,0.0,0.0,153589.18101632845,5.187813881792067e+18,6.549487577990736e-09,2.166804059226414e-05,3.3044586776858216,5.556519938252076e-10,-9.949727039608017e-07,-0.4645081608640438,,
crisis,scm,mv,5.317290001865503e-09,9.641590758873123e-06,-0.003784957398115468,-0.004746489276029113,3.219811321222313e-05,-0.0065619441555374285,0.20289786967418547,168,7.7080792109078216,0.02901117913913937,0.14505589569569685,153589.18101632845,5.187813881792067e+18,5.294099392514706e-09,9.838946698059838e-06,6.474208368402386,2.3190609350797044e-11,-1.9735593918671439e-07,1.2338708425054357,,
